timestamp,zone,category,count
2026-09-24 10:00:00,Zone A,waterlogging,0
2026-09-24 10:00:00,Zone A,garbage,0
2026-09-24 10:00:00,Zone A,roads,0
2026-09-24 10:00:00,Zone A,streetlight,1
2026-09-24 10:00:00,Zone A,noise,2
2026-09-24 10:00:00,Zone B,waterlogging,0
2026-09-24 10:00:00,Zone B,garbage,0
2026-09-24 10:00:00,Zone B,roads,1
2026-09-24 10:00:00,Zone B,streetlight,1
2026-09-24 10:00:00,Zone B,noise,0
2026-09-24 10:00:00,Zone C,waterlogging,0
2026-09-24 10:00:00,Zone C,garbage,2
2026-09-24 10:00:00,Zone C,roads,0
2026-09-24 10:00:00,Zone C,streetlight,1
2026-09-24 10:00:00,Zone C,noise,2
2026-09-24 10:15:00,Zone A,waterlogging,0
2026-09-24 10:15:00,Zone A,garbage,2
2026-09-24 10:15:00,Zone A,roads,4
2026-09-24 10:15:00,Zone A,streetlight,0
2026-09-24 10:15:00,Zone A,noise,2
2026-09-24 10:15:00,Zone B,waterlogging,1
2026-09-24 10:15:00,Zone B,garbage,1
2026-09-24 10:15:00,Zone B,roads,1
2026-09-24 10:15:00,Zone B,streetlight,0
2026-09-24 10:15:00,Zone B,noise,0
2026-09-24 10:15:00,Zone C,waterlogging,0
2026-09-24 10:15:00,Zone C,garbage,3
2026-09-24 10:15:00,Zone C,roads,0
2026-09-24 10:15:00,Zone C,streetlight,1
2026-09-24 10:15:00,Zone C,noise,1
2026-09-24 10:30:00,Zone A,waterlogging,1
2026-09-24 10:30:00,Zone A,garbage,3
2026-09-24 10:30:00,Zone A,roads,2
2026-09-24 10:30:00,Zone A,streetlight,1
2026-09-24 10:30:00,Zone A,noise,1
2026-09-24 10:30:00,Zone B,waterlogging,0
2026-09-24 10:30:00,Zone B,garbage,1
2026-09-24 10:30:00,Zone B,roads,0
2026-09-24 10:30:00,Zone B,streetlight,2
2026-09-24 10:30:00,Zone B,noise,1
2026-09-24 10:30:00,Zone C,waterlogging,0
2026-09-24 10:30:00,Zone C,garbage,1
2026-09-24 10:30:00,Zone C,roads,1
2026-09-24 10:30:00,Zone C,streetlight,3
2026-09-24 10:30:00,Zone C,noise,0
2026-09-24 10:45:00,Zone A,waterlogging,1
2026-09-24 10:45:00,Zone A,garbage,0
