timestamp,zone,congestion_pct,incidents
2026-09-24 10:00:00,Zone A,34.5,0
2026-09-24 10:00:00,Zone B,32.9,0
2026-09-24 10:00:00,Zone C,25.9,0
2026-09-24 10:15:00,Zone A,35.4,0
2026-09-24 10:15:00,Zone B,28.7,0
2026-09-24 10:15:00,Zone C,20.1,0
2026-09-24 10:30:00,Zone A,34.9,0
2026-09-24 10:30:00,Zone B,24.2,0
2026-09-24 10:30:00,Zone C,28.1,1
2026-09-24 10:45:00,Zone A,37.1,0
2026-09-24 10:45:00,Zone B,27.0,0
2026-09-24 10:45:00,Zone C,22.0,0
2026-09-24 11:00:00,Zone A,31.7,1
2026-09-24 11:00:00,Zone B,29.4,1
2026-09-24 11:00:00,Zone C,23.9,0
2026-09-24 11:15:00,Zone A,42.9,0
2026-09-24 11:15:00,Zone B,23.7,3
2026-09-24 11:15:00,Zone C,26.9,0
2026-09-24 11:30:00,Zone A,31.5,3
2026-09-24 11:30:00,Zone B,31.0,0
2026-09-24 11:30:00,Zone C,23.2,0
2026-09-24 11:45:00,Zone A,35.4,0
2026-09-24 11:45:00,Zone B,28.7,0
2026-09-24 11:45:00,Zone C,26.5,0
2026-09-24 12:00:00,Zone A,32.2,1
2026-09-24 12:00:00,Zone B,23.4,0
2026-09-24 12:00:00,Zone C,21.2,0
2026-09-24 12:15:00,Zone A,37.5,1
2026-09-24 12:15:00,Zone B,30.1,1
2026-09-24 12:15:00,Zone C,40.4,0
2026-09-24 12:30:00,Zone A,32.9,0
2026-09-24 12:30:00,Zone B,28.7,0
2026-09-24 12:30:00,Zone C,25.7,0
2026-09-24 12:45:00,Zone A,28.6,0
2026-09-24 12:45:00,Zone B,20.8,0
2026-09-24 12:45:00,Zone C,26.4,0
2026-09-24 13:00:00,Zone A,61.4,0
2026-09-24 13:00:00,Zone B,26.7,0
2026-09-24 13:00:00,Zone C,34.6,0
2026-09-24 13:15:00,Zone A,98.3,1
2026-09-24 13:15:00,Zone B,25.4,0
2026-09-24 13:15:00,Zone C,28.4,0
2026-09-24 13:30:00,Zone A,76.6,0
2026-09-24 13:30:00,Zone B,31.5,0
2026-09-24 13:30:00,Zone C,32.1,0
2026-09-24 13:45:00,Zone A,100.0,2
2026-09-24 13:45:00,Zone B,21.9,0
2026-09-24 13:45:00,Zone C,23.1,1
2026-09-24 14:00:00,Zone A,51.5,1
2026-09-24 14:00:00,Zone B,35.5,0
2026-09-24 14:00:00,Zone C,31.5,0
2026-09-24 14:15:00,Zone A,50.4,2
2026-09-24 14:15:00,Zone B,24.1,0
2026-09-24 14:15:00,Zone C,26.8,0
2026-09-24 14:30:00,Zone A,32.3,1
2026-09-24 14:30:00,Zone B,26.5,0
2026-09-24 14:30:00,Zone C,22.5,0
2026-09-24 14:45:00,Zone A,40.4,1
2026-09-24 14:45:00,Zone B,29.1,0
2026-09-24 14:45:00,Zone C,22.5,0
2026-09-24 15:00:00,Zone A,29.6,0
2026-09-24 15:00:00,Zone B,31.4,0
2026-09-24 15:00:00,Zone C,28.6,0
2026-09-24 15:15:00,Zone A,33.2,1
2026-09-24 15:15:00,Zone B,30.2,2
2026-09-24 15:15:00,Zone C,22.2,0
2026-09-24 15:30:00,Zone A,29.3,2
2026-09-24 15:30:00,Zone B,32.6,1
2026-09-24 15:30:00,Zone C,30.2,0
2026-09-24 15:45:00,Zone A,32.1,1
2026-09-24 15:45:00,Zone B,26.9,2
2026-09-24 15:45:00,Zone C,22.5,0
